City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
320,Namuac,PH,18.6109,121.1657,81.88,85,56,7.58,broken clouds
321,Waitati,NZ,-45.75,170.5667,51.8,75,100,4.43,light rain
322,Umm Kaddadah,SD,13.6017,26.6876,89.69,37,94,3.47,overcast clouds
323,Raichur,IN,16.2,77.3667,87.93,55,80,6.64,broken clouds
324,Eisiskes,LT,54.1667,25.0,63.32,52,34,8.41,scattered clouds
325,Qena,EG,26.1615,32.7183,109.87,16,0,11.63,clear sky
326,Narsaq,GL,60.9167,-46.05,44.82,53,4,3.56,clear sky
327,Guanica,PR,17.9716,-66.908,84.97,85,62,2.93,broken clouds
328,Verkhoyansk,RU,67.5447,133.385,53.33,68,83,2.59,broken clouds
329,Bucerias,MX,20.75,-105.3333,78.98,100,20,4.61,few clouds
330,Xai-Xai,MZ,-25.0519,33.6442,67.51,55,75,16.67,broken clouds
331,Iqaluit,CA,63.7506,-68.5145,36.7,93,18,9.78,few clouds
332,Tecoanapa,MX,16.5167,-98.75,75.4,89,28,3.51,scattered clouds
333,Laem Sing,TH,12.4816,102.0738,83.01,86,100,2.15,overcast clouds
334,Panama City,PA,8.9936,-79.5197,77.16,91,20,3.44,few clouds
335,Cap Malheureux,MU,-19.9842,57.6142,75.47,63,4,8.99,clear sky
336,Yelatma,RU,54.9675,41.7508,79.99,36,21,16.17,few clouds
337,Kirakira,SB,-10.4544,161.9205,78.91,86,100,9.8,light rain
338,Sao Joao Da Barra,BR,-21.6403,-41.0511,66.29,64,88,8.9,overcast clouds
339,Lengshuijiang,CN,27.6881,111.4294,73.18,66,96,5.73,overcast clouds
340,Sistranda,NO,63.7256,8.834,57.16,73,25,10.76,scattered clouds
341,Vestmannaeyjar,IS,63.4427,-20.2734,54.59,94,100,32.21,moderate rain
342,Kristianstad,SE,56.0313,14.1524,71.35,44,0,4.61,clear sky
343,La Asuncion,VE,11.0333,-63.8628,81.16,74,25,6.2,scattered clouds
344,Policarpa,CO,1.6323,-77.462,67.3,79,60,2.93,broken clouds
